CustomerID,Recency,Frequency,Monetary,Avg_Order_Value,Product_Diversity,Tenure,Avg_Basket_Size
12346,326,1,77183.6,77183.6,1,0,74215.0
12347,2,7,4310.0,615.7142857142857,103,365,13.505494505494505
12348,75,4,1797.24,449.31,22,282,75.51612903225806
12349,19,1,1757.55,1757.55,73,0,8.643835616438356
12350,310,1,334.40000000000003,334.40000000000003,17,0,11.588235294117647
12352,36,8,2506.04,313.255,59,260,6.305882352941176
12353,204,1,89.0,89.0,4,0,5.0
12354,232,1,1079.4,1079.4,58,0,9.137931034482758
12355,214,1,459.40000000000003,459.40000000000003,13,0,18.46153846153846
12356,23,3,2811.43,937.1433333333333,53,302,26.966101694915253
12357,33,1,6207.67,6207.67,131,0,20.671755725190838
12358,2,2,1168.06,584.03,13,149,13.052631578947368
12359,58,4,6310.03,1577.5075,214,274,6.56734693877551
12360,52,3,2662.06,887.3533333333334,105,148,9.031007751937985
12361,287,1,189.9,189.9,10,0,9.1
12362,3,10,5226.2300000000005,522.623,201,292,8.3796992481203
12363,110,2,552.0,276.0,23,132,17.73913043478261
12364,8,4,1313.1,328.275,70,104,17.71764705882353
12365,291,2,641.38,320.69,22,0,7.909090909090909
12367,4,1,168.9,168.9,11,0,15.727272727272727
12370,51,4,3541.94,885.485,143,309,14.168674698795181
12371,45,2,1887.96,943.98,63,14,9.380952380952381
12372,72,3,1298.04,432.68,34,224,15.26923076923077
12373,311,1,364.6,364.6,14,0,14.071428571428571
12374,25,1,742.9300000000001,742.9300000000001,33,0,10.363636363636363
12375,11,2,457.5,228.75,14,87,10.470588235294118
12377,315,2,1628.1200000000001,814.0600000000001,72,39,12.25974025974026
12378,130,1,4008.62,4008.62,219,0,11.547945205479452
12379,82,2,852.24,426.12,39,88,10.175
12380,22,4,2724.81,681.2025,77,164,10.836538461538462
12381,5,5,1845.31,369.062,70,115,9.28735632183908
12383,185,5,1850.56,370.11199999999997,84,167,15.474747474747474
12384,29,2,585.27,292.635,26,92,4.666666666666667
12386,338,2,401.9,200.95,10,29,35.4
12388,16,6,2780.6600000000003,463.4433333333334,57,311,14.62
12390,80,1,549.84,549.84,32,0,11.03125
12391,22,1,439.66,439.66,92,0,3.150537634408602
12393,72,4,1582.6000000000001,395.65000000000003,47,260,12.75
12394,64,2,1272.48,636.24,26,153,30.333333333333332
12395,19,12,3018.63,251.5525,91,351,13.576923076923077
12397,36,2,2409.9,1204.95,110,99,10.023809523809524
12398,46,1,1635.6599999999999,1635.6599999999999,85,0,16.4
12399,119,4,1108.65,277.1625,47,142,19.966101694915253
12401,303,1,84.3,84.3,5,0,2.2
12402,323,1,225.60000000000002,225.60000000000002,11,0,8.545454545454545
12403,50,1,427.7,427.7,5,0,19.2
12405,149,1,1710.39,1710.39,54,0,15.87037037037037
12406,22,2,3415.3,1707.65,92,161,17.314285714285713
12407,50,5,1708.12,341.62399999999997,57,214,18.38961038961039
12408,33,5,2888.55,577.71,81,227,13.41904761904762
12409,79,3,11072.67,3690.89,91,103,50.92660550458716
12410,309,2,693.33,346.665,26,0,8.115384615384615
12412,75,3,1226.88,408.96000000000004,43,94,13.59016393442623
12413,67,3,758.1,252.70000000000002,29,270,7.526315789473684
12414,217,3,562.4100000000001,187.47000000000003,16,93,16.666666666666668
12415,24,21,124914.53,5948.310952380953,444,313,108.36694677871148
12417,3,9,3649.1,405.4555555555555,158,354,8.083333333333334
12418,113,1,668.58,668.58,34,0,11.970588235294118
12420,64,1,600.39,600.39,29,0,11.89655172413793
12421,16,4,807.04,201.76,32,303,10.755555555555556
12422,96,3,803.5600000000001,267.85333333333335,39,229,9.487179487179487
12423,1,8,1859.31,232.41375,97,352,10.712
12424,163,2,1760.96,880.48,30,0,24.666666666666668
12425,78,1,777.2,777.2,36,0,13.777777777777779
12426,195,1,582.73,582.73,30,0,8.6
12427,22,3,825.8000000000001,275.2666666666667,26,349,17.193548387096776
12428,26,9,7956.46,884.0511111111111,258,257,12.02721088435374
12429,9,4,3750.4,937.6,82,356,16.051546391752577
12430,43,1,256.4,256.4,11,0,10.636363636363637
12431,36,15,6419.95,427.99666666666667,163,338,12.376068376068377
12432,43,5,5059.32,1011.8639999999999,107,129,16.675925925925927
12433,1,7,13375.87,1910.8385714285716,219,372,26.35952380952381
12434,85,2,806.14,403.07,46,175,7.88
12435,80,2,7829.89,3914.945,31,188,57.083333333333336
12436,100,1,509.01,509.01,16,0,13.1875
12437,2,18,4951.41,275.0783333333333,118,329,14.683417085427136
12438,14,2,2906.85,1453.425,84,125,12.040816326530612
12441,367,1,173.55,173.55,11,0,11.0
12442,3,1,172.06,172.06,12,0,15.166666666666666
12444,21,5,5005.46,1001.092,138,149,6.551136363636363
12445,22,1,133.4,133.4,4,0,15.5
12446,58,1,1002.3100000000001,1002.3100000000001,57,0,6.157894736842105
12447,243,1,476.49,476.49,26,0,7.3076923076923075
12448,44,1,449.45,449.45,22,0,11.045454545454545
12449,22,4,4067.29,1016.8225,118,164,8.13089005235602
12450,156,2,197.88,98.94,7,17,16.0
12451,11,5,9035.52,1807.104,265,313,18.573446327683616
12452,17,2,430.57000000000005,215.28500000000003,21,0,8.409090909090908
12453,134,1,707.09,707.09,43,0,11.0
12454,56,1,3528.34,3528.34,15,0,67.06666666666666
12455,73,6,2466.86,411.1433333333334,85,223,23.211111111111112
12456,44,3,3181.04,1060.3466666666666,105,210,13.064
12457,66,7,2363.23,337.6042857142857,53,172,13.596774193548388
12458,71,2,947.4,473.7,35,213,13.31578947368421
12461,94,2,826.88,413.44,35,60,8.2
12462,19,2,1189.59,594.795,51,284,8.64516129032258
12463,53,4,1344.78,336.195,65,188,9.349397590361447
12464,10,8,1212.05,151.50625,6,299,3.8620689655172415
12465,17,2,742.19,371.095,46,152,10.191489361702128
12468,188,2,729.54,364.77,36,128,9.631578947368421
12471,2,30,19788.65,659.6216666666667,150,362,17.864923747276688
12472,32,7,6572.11,938.8728571428571,219,336,12.23598820058997
12473,29,5,3928.05,785.61,140,162,14.455089820359282
12474,17,18,7324.09,406.8938888888889,253,312,11.45260663507109
12475,54,1,723.38,723.38,36,0,14.86111111111111
12476,16,11,6816.42,619.6745454545454,177,345,10.334763948497853
12477,23,6,13219.74,2203.29,191,278,12.176666666666666
12478,4,1,680.99,680.99,36,0,6.555555555555555
12479,11,1,527.2,527.2,31,0,12.419354838709678
12480,28,4,3281.63,820.4075,129,307,11.084415584415584
12481,23,10,5579.82,557.982,150,342,15.25
12483,17,8,2484.98,310.6225,46,322,14.8
12484,33,6,4527.32,754.5533333333333,256,303,6.376093294460642
12488,10,3,1298.66,432.8866666666667,46,65,9.618181818181819
12489,336,1,334.93,334.93,15,0,7.0
12490,5,10,5417.93,541.793,131,324,12.506122448979593
12491,39,1,460.40000000000003,460.40000000000003,25,0,10.0
12492,63,2,263.21000000000004,131.60500000000002,19,42,9.6
12493,166,2,433.74,216.87,20,31,9.409090909090908
12494,16,7,1246.1,178.0142857142857,63,349,9.181818181818182
12497,82,1,1043.1,1043.1,14,0,88.28571428571429
12498,21,3,403.70000000000005,134.5666666666667,21,36,6.913043478260869
12500,23,11,4257.82,387.07454545454544,34,310,43.90163934426229
12501,337,1,2169.39,2169.39,149,0,11.966442953020135
12502,96,5,3723.87,744.774,102,214,5.578231292517007
12504,18,2,482.04999999999995,241.02499999999998,6,12,10.0
12506,233,1,73.5,73.5,23,0,1.0
12507,134,3,1304.81,434.93666666666667,19,164,42.57142857142857
12508,26,2,397.88,198.94,57,2,3.985294117647059
12509,284,1,176.5,176.5,7,0,7.857142857142857
12510,143,2,982.5699999999999,491.28499999999997,29,182,10.696969696969697
12512,66,2,132.18,66.09,31,0,3.096774193548387
12513,113,1,612.29,612.29,35,0,13.2
12514,267,1,1017.6800000000001,1017.6800000000001,51,0,8.627450980392156
12515,353,1,383.7,383.7,16,0,8.1875
12516,78,2,1312.06,656.03,20,102,33.65384615384615
12517,28,5,2481.6,496.32,232,161,4.878136200716846
12518,1,5,2056.89,411.378,84,109,10.629032258064516
12519,64,1,330.84000000000003,330.84000000000003,17,0,10.294117647058824
12520,79,5,2634.26,526.8520000000001,121,194,9.467105263157896
12521,143,1,599.68,599.68,38,0,8.131578947368421
12522,39,2,192.72,96.36,11,12,16.166666666666668
12523,19,11,1789.77,162.70636363636365,84,312,8.160377358490566
12524,9,8,4485.72,560.715,113,324,25.6875
12526,1,3,1316.66,438.8866666666667,64,93,8.901408450704226
12527,82,3,348.71000000000004,116.23666666666668,18,243,13.0
12528,9,6,1933.48,322.24666666666667,50,303,8.217391304347826
12530,60,4,1662.28,415.57,51,277,13.833333333333334
12531,15,1,125.22,125.22,17,0,2.6470588235294117
12532,30,1,349.83000000000004,349.83000000000004,16,0,9.5625
12534,131,1,1089.18,1089.18,63,0,10.333333333333334
12535,92,2,716.35,358.175,28,94,6.4411764705882355
12536,43,3,12601.830000000002,4200.610000000001,260,15,10.739463601532567
12538,29,1,363.95,363.95,21,0,9.095238095238095
12539,22,4,5568.35,1392.0875,157,311,7.571428571428571
12540,20,17,13400.24,788.2494117647059,277,342,13.985355648535565
12541,30,3,981.18,327.06,46,251,13.076923076923077
12544,36,1,372.7,372.7,19,0,7.157894736842105
12545,75,2,1000.39,500.195,42,184,10.46
12546,47,2,1161.5,580.75,59,31,9.173913043478262
12547,198,2,207.8,103.9,7,82,16.75
12548,166,1,95.19999999999999,95.19999999999999,5,0,9.8
12550,79,1,964.83,964.83,57,0,9.982456140350877
12551,358,1,168.0,168.0,10,0,10.0
12552,39,2,437.82,218.91,20,0,4.4
12553,8,10,3692.28,369.228,95,321,10.287958115183246
12556,50,2,599.56,299.78,100,100,2.9831932773109244
12557,16,5,11990.960000000001,2398.192,15,355,132.84848484848484
12558,8,1,269.96,269.96,11,0,17.818181818181817
12559,311,2,561.71,280.855,21,8,13.476190476190476
12560,5,3,2134.01,711.3366666666667,91,137,10.571428571428571
12561,303,1,238.85,238.85,16,0,11.0625
12562,8,7,3781.7400000000002,540.2485714285715,99,190,10.589285714285714
12564,261,1,456.90000000000003,456.90000000000003,21,0,6.333333333333333
12565,289,1,145.92000000000002,145.92000000000002,9,0,8.88888888888889
12566,86,1,351.65,351.65,19,0,13.947368421052632
12567,23,10,9401.28,940.128,323,346,9.652466367713005
12569,2,32,4124.6900000000005,128.89656250000002,92,250,9.579787234042554
12571,40,2,519.61,259.805,31,81,15.382352941176471
12572,9,2,1020.4200000000001,510.21000000000004,53,43,7.533333333333333
12573,227,1,160.54000000000002,160.54000000000002,26,0,3.0
12574,316,1,218.45000000000002,218.45000000000002,11,0,5.545454545454546
12576,36,5,1315.83,263.166,72,268,10.988636363636363
12577,35,3,626.6,208.86666666666667,137,323,3.212328767123288
12578,21,2,2794.51,1397.255,111,308,10.491228070175438
12579,78,1,440.42,440.42,29,0,9.827586206896552
12580,247,1,415.7,415.7,24,0,9.916666666666666
12581,40,1,197.71,197.71,15,0,10.733333333333333
12582,239,2,511.36,255.68,21,49,13.636363636363637
12583,3,15,7281.38,485.42533333333336,115,370,20.48582995951417
12584,4,9,2338.15,259.7944444444445,44,276,4.333333333333333
12585,234,2,2040.1,1020.05,77,117,14.701149425287356
12586,17,1,196.94000000000003,196.94000000000003,11,0,7.181818181818182
12587,8,1,144.0,144.0,4,0,12.75
12588,39,1,214.89999999999998,214.89999999999998,10,0,5.3
12589,29,2,646.68,323.34,29,115,8.742857142857142
12590,211,2,9864.26,4932.13,68,0,62.98529411764706
12591,317,1,452.84999999999997,452.84999999999997,26,0,8.76923076923077
12592,92,2,437.6,218.8,11,121,16.11111111111111
12593,109,3,418.1,139.36666666666667,14,110,9.80952380952381
12594,38,10,3338.2200000000003,333.822,50,285,15.059322033898304
12596,51,2,618.27,309.135,25,190,17.555555555555557
12597,19,4,3811.22,952.805,184,248,10.854368932038835
12598,10,8,3023.08,377.885,84,275,14.878787878787879
12599,29,7,1032.58,147.51142857142855,32,275,15.419354838709678
12600,29,10,2599.04,259.904,32,342,12.09375
12601,190,5,577.0600000000001,115.412,21,142,8.75
12602,59,1,153.12,153.12,12,0,13.5
12603,22,1,739.1999999999999,739.1999999999999,2,0,31.5
12604,79,2,254.18,127.09,15,182,12.5625
12607,60,1,1579.51,1579.51,101,0,12.158415841584159
12609,78,3,1126.85,375.6166666666666,57,240,10.8
12610,23,5,2099.54,419.908,85,103,9.89622641509434
12611,52,1,1193.32,1193.32,65,0,13.015384615384615
12612,74,1,704.04,704.04,19,0,13.789473684210526
12613,57,5,3344.38,668.876,124,204,10.745098039215685
12614,278,1,315.6,315.6,20,0,3.8
12615,2,4,2291.19,572.7975,82,166,13.104761904761904
12616,95,2,713.3,356.65,25,202,8.875
12617,29,1,352.98,352.98,39,0,5.121951219512195
12618,22,1,177.31,177.31,11,0,8.727272727272727
12619,16,9,3641.24,404.5822222222222,50,237,37.53333333333333
12620,15,3,1339.41,446.47,89,189,12.83695652173913
12621,2,20,13689.67,684.4835,261,364,15.931477516059957
12622,232,1,180.1,180.1,11,0,6.2727272727272725
12623,276,1,305.1,305.1,18,0,10.61111111111111
12624,106,2,641.13,320.565,36,71,9.342105263157896
12625,212,2,2683.82,1341.91,73,107,18.74418604651163
12626,23,9,6620.4800000000005,735.6088888888889,232,303,11.744897959183673
12627,11,7,4478.53,639.79,162,129,11.965217391304348
12628,4,3,786.46,262.15333333333336,34,60,10.926829268292684
12630,10,2,1270.88,635.44,60,34,8.5625
12631,57,1,640.5,640.5,31,0,7.612903225806452
12633,59,4,2163.98,540.995,73,229,11.504950495049505
12635,90,2,1689.18,844.59,96,65,11.603960396039604
12637,67,8,6002.9,750.3625,205,256,7.837696335078534
12638,33,1,671.69,671.69,39,0,14.794871794871796
12639,239,1,486.1,486.1,22,0,9.136363636363637
12640,24,3,1174.58,391.52666666666664,47,57,5.867924528301887
12641,115,1,185.9,185.9,10,0,7.2
12642,25,3,1013.26,337.75333333333333,39,82,11.74468085106383
12643,128,6,3344.64,557.4399999999999,11,204,75.33333333333333
12644,130,1,477.90999999999997,477.90999999999997,31,0,10.483870967741936
12645,34,4,1775.18,443.795,58,282,14.849315068493151
12646,5,2,1346.97,673.485,43,44,19.933333333333334
12647,22,12,3722.82,310.235,78,346,11.826446280991735
12648,155,1,318.05,318.05,21,0,7.619047619047619
12649,107,3,623.51,207.83666666666667,28,105,18.903225806451612
12650,3,1,314.44,314.44,20,0,12.7
12651,335,1,114.0,114.0,9,0,8.666666666666666
12652,331,1,919.98,919.98,48,0,10.520833333333334
12653,149,2,2209.85,1104.925,37,147,21.372093023255815
12654,11,5,601.98,120.396,31,284,6.947368421052632
12656,17,5,4051.17,810.234,89,216,13.674603174603174
12657,11,4,1643.18,410.795,35,67,22.21276595744681
12658,19,1,686.05,686.05,36,0,8.88888888888889
12659,30,1,91.68,91.68,5,0,21.0
12660,11,1,245.10000000000002,245.10000000000002,13,0,9.76923076923077
12662,1,11,3849.78,349.98,129,372,8.947826086956521
12664,8,9,4881.88,542.4311111111111,10,314,32.513513513513516
12665,325,1,63.0,63.0,3,0,12.333333333333334
12667,58,1,620.13,620.13,33,0,11.969696969696969
12668,12,4,3807.15,951.7875,115,343,10.149068322981366
12669,151,3,2744.0299999999997,914.6766666666666,98,105,11.03960396039604
12670,10,5,2996.05,599.21,58,222,15.184782608695652
12672,330,1,225.9,225.9,10,0,7.8
12673,5,2,610.52,305.26,42,321,8.357142857142858
12674,39,4,1970.6,492.65,52,169,13.650602409638553
12676,25,6,1331.39,221.89833333333334,33,286,14.88888888888889
12678,42,12,17628.46,1469.0383333333332,105,311,66.2
12679,59,4,1113.02,278.255,43,225,11.541666666666666
12680,1,4,862.81,215.7025,33,112,8.51923076923077
