CustomerID,Recency,Frequency,Monetary,Avg_Order_Value,Product_Diversity,Tenure,Avg_Basket_Size,Cluster,Segment
12346,326,1,77183.6,77183.6,1,0,74215.0,2,Wholesale Buyers
12347,2,7,4310.0,615.7142857142857,103,365,13.505494505494504,0,Loyal Customers
12348,75,4,1797.24,449.31,22,282,75.51612903225806,0,Loyal Customers
12349,19,1,1757.55,1757.55,73,0,8.643835616438356,3,Potential Loyalists
12350,310,1,334.40000000000003,334.40000000000003,17,0,11.588235294117649,1,Dormant Customers
12352,36,8,2506.04,313.255,59,260,6.305882352941176,0,Loyal Customers
12353,204,1,89.0,89.0,4,0,5.0,1,Dormant Customers
12354,232,1,1079.4,1079.4,58,0,9.137931034482758,1,Dormant Customers
12355,214,1,459.4,459.4,13,0,18.46153846153846,1,Dormant Customers
12356,23,3,2811.43,937.1433333333332,53,302,26.966101694915253,0,Loyal Customers
12357,33,1,6207.67,6207.67,131,0,20.67175572519084,3,Potential Loyalists
12358,2,2,1168.06,584.03,13,149,13.052631578947368,3,Potential Loyalists
12359,58,4,6310.03,1577.5075,214,274,6.56734693877551,0,Loyal Customers
12360,52,3,2662.06,887.3533333333334,105,148,9.031007751937985,3,Potential Loyalists
12361,287,1,189.9,189.9,10,0,9.1,1,Dormant Customers
12362,3,10,5226.2300000000005,522.623,201,292,8.3796992481203,0,Loyal Customers
12363,110,2,552.0,276.0,23,132,17.73913043478261,3,Potential Loyalists
12364,8,4,1313.1,328.275,70,104,17.71764705882353,3,Potential Loyalists
12365,291,2,641.38,320.69,22,0,7.909090909090909,1,Dormant Customers
12367,4,1,168.9,168.9,11,0,15.727272727272728,3,Potential Loyalists
12370,51,4,3541.94,885.485,143,309,14.16867469879518,0,Loyal Customers
12371,45,2,1887.96,943.98,63,14,9.38095238095238,3,Potential Loyalists
12372,72,3,1298.04,432.68,34,224,15.26923076923077,3,Potential Loyalists
12373,311,1,364.6,364.6,14,0,14.071428571428571,1,Dormant Customers
12374,25,1,742.9300000000001,742.9300000000001,33,0,10.363636363636363,3,Potential Loyalists
12375,11,2,457.5,228.75,14,87,10.470588235294118,3,Potential Loyalists
12377,315,2,1628.12,814.0600000000001,72,39,12.25974025974026,1,Dormant Customers
12378,130,1,4008.62,4008.62,219,0,11.547945205479452,3,Potential Loyalists
12379,82,2,852.24,426.12,39,88,10.175,3,Potential Loyalists
12380,22,4,2724.81,681.2025,77,164,10.836538461538462,3,Potential Loyalists
12381,5,5,1845.31,369.062,70,115,9.28735632183908,3,Potential Loyalists
12383,185,5,1850.56,370.112,84,167,15.474747474747474,1,Dormant Customers
12384,29,2,585.27,292.635,26,92,4.666666666666667,3,Potential Loyalists
12386,338,2,401.9,200.95,10,29,35.4,1,Dormant Customers
12388,16,6,2780.6600000000003,463.4433333333334,57,311,14.62,0,Loyal Customers
12390,80,1,549.84,549.84,32,0,11.03125,3,Potential Loyalists
12391,22,1,439.66,439.66,92,0,3.150537634408602,3,Potential Loyalists
